a rep network bll blc ans model.rnd network.rnd assign.rnd network.size metacog communicating ncond cond time.fac avg.degree node.id node.degree node.betweenness score items.taken msgs.sent msgs.rcvd msgs.answers msgs.truthful talkative avg.pathlen clust.global clust.avg betweenness nbhd.infavail nbhd.entropy post.nbhd.infavail post.nbhd.entropy
1 20000 SmallWorld 0.104244806 1.0 0.2 T T T 25 NIL T SmallWorld PULL 0.1 4.5098886 16 7 0.30496454 27500.0 2.0 2.0 60.0 0.0 0.0 0.0 2.1666667 0.11637931 0.12571429 2.929078 NA NA NA NA
1 20000 SmallWorld 0.5785028 1.0 0.2 T T T 250 T T SmallWorld PUSH 0.1 45.757698 180 46 0.007754799 292500.0 3.0 89.0 3572.0 0.0 0.0 0.75 1.8163855 0.18539113 0.18557222 1.9599867 NA NA NA NA
1 20000 RandomGraph 0.5785028 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 45.757698 86 49 0.00835784 331250.0 0.0 80.0 4103.0 0.0 0.0 0.75 1.8128192 0.1859818 0.18599233 1.9515069 NA NA NA NA
1 20000 RandomGraph 0.5785028 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 45.757698 27 55 0.011040549 318000.0 0.0 8.0 1370.0 1.0 0.0 0.0 1.8158394 0.1852142 0.18592733 1.9500073 NA NA NA NA
1 20000 RandomGraph 0.5785028 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 45.757698 100 43 0.006651703 325500.0 6.0 43.0 1410.0 3.0 0.0 0.0 1.8158394 0.1852142 0.18592733 1.9500073 NA NA NA NA
1 20000 SmallWorld 0.5 1.0 0.2 T T T 250 NIL NIL NoCommunication PULL 0.1 2.3 216 2 0.027023338 3375.0 0.0 0.0 0.0 0.0 0.0 0.0 10.351614 0.0 0.0 19.540985 NA NA NA NA
1 20001 RandomGraph 0.6524068 1.0 0.2 T T T 25 T T RandomGraph PUSH 0.1 6.503076 0 6 0.060869563 69250.0 8.0 132.0 729.0 0.0 0.0 0.75 1.9433334 0.2511628 0.27596536 2.6695652 NA NA NA NA
1 20001 RandomGraph 0.6524068 1.0 0.2 T T T 25 NIL T RandomGraph PULL 0.1 6.503076 24 5 0.060869563 68375.0 12.0 70.0 171.0 0.0 0.0 0.0 1.91 0.25694445 0.23390476 2.6289854 NA NA NA NA
1 20001 SmallWorld 0.27773783 1.0 0.2 T T T 250 T T SmallWorld PUSH 0.1 24.371655 60 31 0.019616663 144000.0 2.0 42.0 991.0 0.0 0.0 0.2939594541463897 1.9838394 0.0985759 0.09795445 3.2490447 NA NA NA NA
1 20001 Tree 0.27773783 1.0 0.2 T T T 250 T T Tree PUSH 0.1 24.371655 73 1 0.0 25375.0 5.0 24.0 89.0 0.0 0.0 0.07658392237257951 3.6319902 0.0 0.0 5.2639804 NA NA NA NA
1 20001 SmallWorld 0.27773783 1.0 0.2 T T T 250 NIL T SmallWorld PULL 0.1 24.371655 186 23 0.010170068 131875.0 1.0 7.0 153.0 0.0 0.0 0.0 1.9862169 0.09605672 0.09563355 3.247487 NA NA NA NA
1 20001 RandomGraph 0.27773783 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 24.371655 207 25 0.014100763 146250.0 2.0 8.0 208.0 0.0 0.0 0.0 1.9850924 0.09834013 0.09823363 3.2366786 NA NA NA NA
1 20002 Tree 0.37422687 1.0 0.2 T T T 25 T T Tree PUSH 0.1 4.400811 3 4 0.41025642 17250.0 1.0 27.0 136.0 0.0 0.0 0.75 3.5498576 0.0 0.0 5.099715 NA NA NA NA
1 20002 RandomGraph 0.12107544 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 27.560146 120 27 0.012398388 128750.0 3.0 11.0 119.0 0.0 0.0 0.0 1.9343935 0.11022448 0.11051976 2.9919734 NA NA NA NA
1 20003 SmallWorld 0.8039789 1.0 0.2 T T T 25 T T SmallWorld PUSH 0.1 6.5509386 10 6 0.041322313 78000.0 10.0 161.0 955.0 0.0 0.0 0.75 1.85 0.27431905 0.2771877 2.520661 NA NA NA NA
